name,artist,album,spotify_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Non mi avete fatto niente,Ermal Meta,Non Abbiamo Armi,0fH7Ps9TYlAE41p2hByQvE,0.314,0.433,207387,0.893,0,6,0.137,-4.581,1,0.0647,89.319,0.691
Dall'alba al tramonto,Ermal Meta,Non Abbiamo Armi,4iJB47COBc0QnehBiNEnkg,0.0302,0.779,205427,0.762,0,1,0.298,-4.516,0,0.0428,121.992,0.937
9 primavere,Ermal Meta,Non Abbiamo Armi,4SUpoND0KK6QwOXLaeMAoT,0.0817,0.398,226347,0.521,0,1,0.111,-7.221,0,0.0914,147.88,0.285
Non abbiamo armi,Ermal Meta,Non Abbiamo Armi,0bw3Bl3LFM8oQpD2F6aicM,0.00391,0.378,250880,0.765,0.00212,10,0.089,-6.041,1,0.0336,82.107,0.309
Io mi innamoro ancora,Ermal Meta,Non Abbiamo Armi,0w7VbTpf6c2wFLT6LUU48g,0.00348,0.625,209600,0.766,0,8,0.219,-4.945,1,0.032,129.975,0.472
Le luci di Roma,Ermal Meta,Non Abbiamo Armi,4XLsbz8G82sC5Py5Scuoo9,0.417,0.334,222933,0.556,2.33e-06,6,0.102,-5.715,1,0.0372,131.307,0.348
Caro Antonello,Ermal Meta,Non Abbiamo Armi,4B5FjbfTkgnxVCaA3CFWC7,0.107,0.635,295720,0.532,0.248,9,0.113,-9.529,1,0.0313,89.901,0.55
Il vento della vita,Ermal Meta,Non Abbiamo Armi,1upZ8QHzbXZyrQ9gEPGjOW,0.183,0.452,201427,0.789,0,8,0.166,-4.127,0,0.0655,107.884,0.39
Amore alcolico,Ermal Meta,Non Abbiamo Armi,5oqpXka49lxzXwaAOfTvQz,0.00555,0.558,238747,0.799,2.07e-06,1,0.212,-4.251,1,0.0296,123.984,0.361
Quello che ci resta,Ermal Meta,Non Abbiamo Armi,09vt1PNaptolENeWRJjuIR,0.183,0.525,212200,0.56,0,3,0.131,-5.866,1,0.0345,128.0,0.291
"Molto bene, molto male",Ermal Meta,Non Abbiamo Armi,1YNyGq4TzdIg7b9DzPfu0X,0.0293,0.691,183880,0.84,0,6,0.0929,-5.007,0,0.0861,109.938,0.479
Mi salvi chi può,Ermal Meta,Non Abbiamo Armi,4CjZPBBzvwopkZSAjz600P,0.0792,0.528,352667,0.417,0.0162,1,0.0863,-7.834,0,0.0342,123.927,0.0796
Odio le favole,Ermal Meta,Vietato morire (Deluxe Edition),4MacZtiKqLP6qrTNWkyS3U,0.00272,0.573,204480,0.842,0,0,0.415,-4.167,1,0.0387,105.007,0.817
Gravita con me,Ermal Meta,Vietato morire (Deluxe Edition),5HQ7mpfZabHIJUOUR6CDyG,7.12e-05,0.585,234080,0.927,0.000442,7,0.0798,-4.286,0,0.0413,123.979,0.68
Pezzi di paradiso,Ermal Meta,Vietato morire (Deluxe Edition),4SBjPqSt19CSdaKEtNDGSH,0.0914,0.424,208467,0.868,0,7,0.141,-6.239,1,0.0972,89.815,0.43
A parte te,Ermal Meta,Vietato morire (Deluxe Edition),41Gupndrc0cP1eGGLn3DLO,0.0425,0.463,278920,0.477,6.15e-06,2,0.0869,-7.331,1,0.0324,129.781,0.222
Umano,Ermal Meta,Vietato morire (Deluxe Edition),7uTES3KkQOGrbbiZaL15Tu,0.00567,0.557,236067,0.804,0.000761,4,0.199,-5.795,0,0.0325,81.975,0.609
Volevo dirti,Ermal Meta,Vietato morire (Deluxe Edition),6iEZ19D3NHooEVSdtaxB2w,3.08e-05,0.54,201800,0.904,0,9,0.101,-3.676,0,0.0397,124.049,0.461
Bionda,Ermal Meta,Vietato morire (Deluxe Edition),36nxhYgD8ocXEVJNh1Ws0d,6.81e-05,0.566,198987,0.878,8.55e-05,0,0.107,-4.221,1,0.0411,98.068,0.717
Lettera a mio padre,Ermal Meta,Vietato morire (Deluxe Edition),16nSEFdi7oZdQfOKgjr4JW,0.00949,0.503,233053,0.828,0,9,0.0847,-4.69,0,0.041,98.048,0.528
Schegge,Ermal Meta,Vietato morire (Deluxe Edition),2QQGPIRNdPfaaHwnTAjiOF,0.000961,0.418,322227,0.558,0.000738,0,0.086,-5.706,1,0.0302,133.927,0.113
Vietato morire,Ermal Meta,Vietato morire (Deluxe Edition),1NIqb3aQ44twKOcTi4x69i,0.0187,0.531,211907,0.909,0,0,0.273,-3.776,1,0.048,97.987,0.608
Ragazza Paradiso,Ermal Meta,Vietato morire (Deluxe Edition),5hdtMLf31xDMEmMM57IKHx,0.0116,0.495,219413,0.774,0,7,0.0957,-5.53,1,0.0421,89.992,0.203
Piccola anima,Ermal Meta,Vietato morire (Deluxe Edition),3xejcIHnqOy0A4oQbS59jQ,0.606,0.46,221920,0.412,0,6,0.111,-6.562,1,0.031,123.445,0.195
