added_at,id,name,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
2019-04-23T14:47:52Z,47bBPpX4pnfZh99kxDu1B1,Filo d'erba,Fabrizio Moro,0.0886,0.546,194827,0.583,0,3,0.133,-6.062,1,0.0369,139.865,0.416
2019-04-23T14:47:46Z,6Of7NcvsTNsHLW585eyoma,Bohémienne,Hélène Ségara,0.655,0.337,319960,0.48,5.15e-05,2,0.698,-10.687,0,0.0355,123.786,0.339
2019-04-23T14:47:36Z,6ZO4Q5p7P30qMC97bWJvfY,Tant Qu'On Rêve Encore,Le Roi Soleil,0.199,0.463,281973,0.45,0,11,0.164,-9.231,1,0.0256,147.851,0.203
2019-04-23T14:47:28Z,7HSXqosyTxDPKYziZ4ctzp,Encore Du Temps,Victoria Petrosillo,0.148,0.47,251560,0.501,5.53e-06,4,0.115,-8.833,0,0.028,79.986,0.277
2019-04-23T14:47:22Z,4JL4Bl3iFjwQ7f7N0zqBi3,Qu'Avons Nous Fait De Vous?,Victoria Petrosillo,0.463,0.538,279200,0.533,3.16e-06,8,0.116,-7.82,0,0.0264,106.055,0.253
2019-04-23T14:47:14Z,3VHrwffnUZFb7FidvPV3OA,Kill This Love,BLACKPINK,0.32,0.738,189052,0.861,0.00175,2,0.325,-4.141,1,0.237,131.974,0.58
2019-04-17T21:11:52Z,5YIZT1A2NZGwlOOu7gK79N,Andrà tutto bene,Levante,0.0428,0.61,227543,0.619,0.00103,3,0.224,-6.104,1,0.0535,129.885,0.255
2019-04-11T21:17:28Z,4GSjFSK1SM78wPTVbsSB0S,The Reckoning,Within Temptation,0.00356,0.31,251107,0.825,0,1,0.641,-4.53,1,0.0563,89.885,0.475
2019-04-07T13:44:34Z,54Sfi5x76ITYShTrjBnJkW,Hell Or High Water,Passenger,0.00182,0.338,220468,0.721,2.03e-05,4,0.349,-5.735,0,0.0587,80.774,0.381
2019-04-07T12:46:16Z,0Es6eMldAFrmVs0QCOlIay,Muhammad Ali,Marco Mengoni,0.0577,0.672,187387,0.83,0,4,0.137,-5.429,0,0.0643,99.977,0.47
2019-04-06T21:45:50Z,7iPlcFvOMOzt6v0QvcAueZ,I Always Wanna Die (Sometimes),The 1975,0.00499,0.368,314663,0.511,0.000728,4,0.117,-5.477,1,0.0329,149.243,0.0504
2019-04-06T00:13:21Z,4nwusqtyElVVJqDod87v8C,Sto tysiecy jednakowych miast,Coma,0.482,0.587,403507,0.682,0.0113,1,0.105,-5.211,1,0.0404,130.008,0.357
2019-04-06T00:11:39Z,24kXwnMOucjqg4GAssQLks,Perseidy,Smolik,0.246,0.532,283542,0.527,0,11,0.982,-11.591,0,0.251,73.921,0.168
2019-04-06T00:07:04Z,4eTLBXcO0q4KRqubdLNYQc,Dziś późno pójdę spać,Kwiat Jabłoni,0.888,0.573,224209,0.378,0.000219,2,0.0736,-10.286,0,0.0426,145.978,0.358
2019-04-06T00:04:26Z,7KXirs6fb0RDI8Q4DK6naY,Dobry moment,Kortez,0.852,0.624,251540,0.535,0.0377,5,0.118,-9.635,1,0.0297,119.966,0.29
2019-04-06T00:03:28Z,3KeqxSAY5a57hmnX2PN0P0,Mokotow,Lilly Hates Roses,0.578,0.616,185707,0.648,0.00819,7,0.134,-7.884,1,0.0367,139.94,0.699
2019-04-04T23:40:23Z,0Apx4ZsigEtDk6E6yjhk0K,Il capolavoro,Ultimo,0.186,0.658,178640,0.487,0,10,0.101,-8.679,1,0.0916,135.975,0.2
2019-04-04T23:26:44Z,0PEDypUUIAOgGQRVh3Ts2l,Il vaso,Ultimo,0.403,0.725,252833,0.438,1.82e-06,4,0.0947,-7.695,0,0.0731,141.868,0.237
2019-04-04T23:18:34Z,3qbMJGhSNdeKdz407PA6x4,Peter Pan - Vuoi volare con me?,Ultimo,0.318,0.606,226542,0.424,0,2,0.0888,-6.668,1,0.0405,139.797,0.245
2019-04-04T22:44:43Z,40SslAHt15Duy4uldwXNAm,Se Piovesse Il Tuo Nome - con Calcutta,Elisa,0.676,0.561,194519,0.461,0,1,0.323,-5.001,0,0.0512,82.13,0.342
2019-04-04T19:59:18Z,6LRMKsCuWA4l8DTJAaJ3Li,Styropian,Xxanaxx,0.172,0.767,209299,0.417,0.00518,7,0.103,-8.63,0,0.0859,93.505,0.341
2019-04-01T19:32:14Z,7D9uRi395bsjGiLyBI0fhO,Wolne dni,Fisz Emade Tworzywo,0.0374,0.608,271491,0.786,0.00541,11,0.0804,-5.361,0,0.0459,161.979,0.907
2019-03-31T09:03:20Z,022k1qYIMWV20yW7tjiBv5,Play God,Sam Fender,0.131,0.7,226967,0.677,0.0491,10,0.121,-7.206,0,0.0458,94.388,0.614
2019-03-30T22:31:02Z,0m5qYuMY1POw0feNFlb9Ml,Dov'è l'Italia,Motta,0.126,0.527,178385,0.839,0,9,0.378,-4.68,0,0.0805,107.696,0.421
2019-03-29T23:10:58Z,1yJrmX8ZtDiQ0HZ8NL3uPl,Dwa ognie,Fisz Emade Tworzywo,0.175,0.708,352508,0.743,0.00612,4,0.441,-6.027,1,0.0269,103.022,0.507
2019-03-27T07:59:15Z,2GlKvfLhiiqKNX5lor8TK4,Tarantino,Julia Marcell,0.264,0.746,280093,0.676,2.51e-05,10,0.187,-7.989,0,0.067,90.014,0.654
