name,artist,album,release_date,spotify_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Hard Times,Paramore,After Laughter,2017-05-12,0w5Bdu51Ka25Pf3hojsKHh,74,0.00647,0.695,182693,0.818,4.87e-06,5,0.0219,-5.379,0,0.0334,119.965,0.916
Rose-Colored Boy,Paramore,After Laughter,2017-05-12,2RJfK2pOvGpnxC255YOy5k,67,0.00199,0.768,212853,0.826,0.000374,5,0.031,-4.904,1,0.0335,114.997,0.926
Told You So,Paramore,After Laughter,2017-05-12,7BpYWzZwrsljT1eIjb0TqR,65,0.0029,0.639,188947,0.814,2.98e-05,2,0.0529,-5.632,0,0.0385,123.922,0.904
Forgiveness,Paramore,After Laughter,2017-05-12,74ABBu8osxqmuFOAKcWWpG,61,0.0611,0.768,219760,0.804,0.00511,2,0.0695,-7.351,1,0.0349,112.028,0.776
Fake Happy,Paramore,After Laughter,2017-05-12,6t44iU80A0h8WQ7vc4OoRj,66,0.076,0.734,235707,0.626,6.54e-06,7,0.168,-5.685,1,0.0458,98.559,0.44
26,Paramore,After Laughter,2017-05-12,2EcQY09CYgJ1qk6H1qZf8h,63,0.852,0.561,221720,0.286,3.56e-05,2,0.116,-10.917,1,0.0266,90.004,0.409
Pool,Paramore,After Laughter,2017-05-12,3xCsHloPBl211Yi4UEUUcm,61,0.00629,0.589,232787,0.777,0.0165,0,0.123,-5.386,1,0.0369,114.867,0.572
Grudges,Paramore,After Laughter,2017-05-12,3WKz5JDH0St3Smips7NlOM,59,6.03e-05,0.511,187467,0.856,0.02,2,0.324,-3.763,1,0.0505,154.904,0.62
Caught In The Middle,Paramore,After Laughter,2017-05-12,27zJBz0YnuZO69U69z96vd,62,0.00496,0.786,214160,0.807,7.08e-05,0,0.0552,-5.344,1,0.0398,92.502,0.814
Idle Worship,Paramore,After Laughter,2017-05-12,50zSoW3GT1Ee4hXxQPO08t,61,0.00499,0.695,198413,0.827,3.14e-06,3,0.225,-4.202,1,0.0488,121.05,0.762
