name,artist,album,release_date,spotify_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
...Ready For It?,Taylor Swift,reputation,2017-11-10,2yLa0QULdQr0qAIvVwN6B5,71,0.0527,0.613,208187,0.764,0,2,0.197,-6.509,1,0.136,160.015,0.417
End Game,Taylor Swift,reputation,2017-11-10,2x0WlnmfG39ZuDmstl9xfX,72,0.00845,0.649,244827,0.589,0,2,0.108,-6.237,1,0.0558,159.073,0.151
I Did Something Bad,Taylor Swift,reputation,2017-11-10,4svZDCRz4cJoneBpjpx8DJ,70,0.0679,0.696,238253,0.602,2.11e-05,0,0.0696,-6.156,0,0.159,82.989,0.305
Don’t Blame Me,Taylor Swift,reputation,2017-11-10,1R0a2iXumgCiFb7HEZ7gUE,69,0.106,0.615,236413,0.534,1.76e-05,9,0.0607,-6.719,0,0.0386,135.917,0.193
Delicate,Taylor Swift,reputation,2017-11-10,6NFyWDv5CjfwuzoCkw47Xf,78,0.216,0.75,232253,0.404,0.000357,9,0.0911,-10.178,0,0.0682,95.045,0.0499
Look What You Made Me Do,Taylor Swift,reputation,2017-11-10,1P17dC1amhFzptugyAO7Il,70,0.204,0.766,211853,0.709,1.41e-05,9,0.126,-6.471,0,0.123,128.07,0.506
So It Goes...,Taylor Swift,reputation,2017-11-10,5PxFv9yJEg9dxvbZggykro,64,0.122,0.574,227907,0.61,1.1e-06,2,0.13,-7.283,1,0.0732,74.957,0.374
Gorgeous,Taylor Swift,reputation,2017-11-10,1ZY1PqizIl78geGM4xWlEA,69,0.0713,0.8,209680,0.535,9.48e-06,7,0.213,-6.684,1,0.135,92.027,0.451
Getaway Car,Taylor Swift,reputation,2017-11-10,0VE4kBnHJUgtMf0dy6DRmW,69,0.00465,0.562,233627,0.689,2.23e-06,2,0.0888,-6.745,1,0.127,172.054,0.351
King Of My Heart,Taylor Swift,reputation,2017-11-10,7HuBDWi18s4aJM8UFnNheH,67,0.00882,0.675,214320,0.703,2.21e-06,0,0.0391,-7.902,1,0.0382,110.01,0.314
Dancing With Our Hands Tied,Taylor Swift,reputation,2017-11-10,7I7JbDv63ZJJsSi24DyJrz,66,0.0604,0.624,211507,0.691,1.1e-05,0,0.138,-6.686,0,0.196,160.024,0.284
Dress,Taylor Swift,reputation,2017-11-10,6oVxXO5oQ4pTpO8RSnkzvv,66,0.0329,0.719,230373,0.469,0,0,0.169,-8.792,1,0.0533,120.085,0.0851
This Is Why We Can’t Have Nice Things,Taylor Swift,reputation,2017-11-10,07NxDD1iKCHbAldceD7QLP,66,0.0156,0.567,207133,0.789,0,5,0.382,-5.986,1,0.115,163.96,0.438
Call It What You Want,Taylor Swift,reputation,2017-11-10,1GwMQaZz6Au3QLDbjbMdme,67,0.186,0.598,203507,0.504,0.000221,9,0.34,-9.874,1,0.0731,163.954,0.252
New Year’s Day,Taylor Swift,reputation,2017-11-10,7F5oktn5YOsR9eR5YsFtqb,64,0.921,0.661,235467,0.151,0,0,0.13,-12.864,1,0.0354,94.922,0.23
Welcome To New York,Taylor Swift,1989,2014-01-01,10nqz67NQWWa7XPq7ycihi,61,0.0326,0.79,212600,0.635,2.46e-06,7,0.308,-4.709,1,0.0313,117.012,0.65
Blank Space,Taylor Swift,1989,2014-01-01,2ls70nUDfjzm1lSRDuKxmw,66,0.0794,0.75,231827,0.687,0,5,0.0732,-5.44,1,0.0704,96.031,0.597
Style,Taylor Swift,1989,2014-01-01,71PmZqBXH0RUETqxpwlV0w,55,0.00246,0.592,231000,0.799,0.000933,2,0.112,-5.473,1,0.0397,94.992,0.516
Out Of The Woods,Taylor Swift,1989,2014-01-01,7EpVQjqtKygiwJIASxMWNg,50,0.001,0.557,235800,0.831,1.53e-05,7,0.334,-6.855,1,0.039,92.008,0.34
All You Had To Do Was Stay,Taylor Swift,1989,2014-01-01,4NNolUeL5m2ju7kf8pdg6H,60,0.00164,0.603,193293,0.733,2.99e-05,5,0.11,-5.692,1,0.035,97.031,0.514
Shake It Off,Taylor Swift,1989,2014-01-01,1kKlhuQE0HXp1IwBRpaH2P,51,0.0543,0.644,219200,0.789,0,7,0.184,-5.351,1,0.172,160.041,0.932
