name,artist,album,spotify_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Café Belga,Taco Hemingway,Café Belga,1RgUcHLTLSMiNG941CYzQL,0.46,0.67,249653,0.607,1.83e-06,8,0.384,-7.606,1,0.164,174.017,0.246
ZTM,Taco Hemingway,Café Belga,0kF9dFTuO9G2IpcDcPMKxQ,0.369,0.816,279947,0.56,0,10,0.474,-7.602,0,0.178,139.022,0.632
Wszystko Na Niby,Taco Hemingway,Café Belga,48A8IJh1Ggc8wfWwzG5yrk,0.41,0.66,258187,0.534,0,8,0.494,-9.774,1,0.224,78.006,0.537
Reżyseria: Kubrick,Taco Hemingway,Café Belga,1V0h7CzbB9AT8LZRzOCdTI,0.454,0.674,211813,0.504,0,1,0.308,-5.457,0,0.387,181.625,0.32
2031,Taco Hemingway,Café Belga,3wvhIkvzZKCab1FpZXkWI7,0.225,0.859,299547,0.524,0,5,0.0922,-8.45,1,0.351,138.027,0.7
Fiji,Taco Hemingway,Café Belga,2CdCs9y04oDuYCF4ewNzI7,0.197,0.774,242560,0.813,0.00233,5,0.122,-5.569,0,0.122,104.996,0.351
Abonent jest czasowo niedostępny,Taco Hemingway,Café Belga,1fnZtBU5wFERbmgPGp3fO0,0.391,0.644,273960,0.636,1.24e-06,7,0.132,-9.27,0,0.142,110.15,0.149
Motorola,Taco Hemingway,Café Belga,0HM8Uj8DRSG24HmCbYEfb0,0.417,0.793,191680,0.567,0,1,0.139,-9.638,1,0.194,113.991,0.3
Modigliani,Taco Hemingway,Café Belga,0gP2wIzhyjlsxjidUekcqb,0.439,0.722,230080,0.539,0,5,0.401,-8.615,0,0.111,142.978,0.212
Adieu,Taco Hemingway,Café Belga,5PoFppTTSK8D2y7z4bZPjH,0.235,0.756,286987,0.707,0,1,0.746,-6.689,1,0.209,100.002,0.518
4 AM in Girona,Taco Hemingway,Café Belga,2ROcseVT4UMn71RIC8fM29,0.148,0.745,188707,0.606,5.85e-06,5,0.714,-9.252,0,0.0639,107.028,0.294
Leonardo,TACONAFIDE,"0,25 mg",6hEcxnY0KTHB2aESOVOLUM,0.426,0.684,174933,0.626,3.33e-05,6,0.0813,-10.647,0,0.3,95.565,0.53
TLC,TACONAFIDE,"0,25 mg",1GWU17RXYdI8ygzcFdRSsR,0.229,0.729,198507,0.542,1.03e-06,1,0.324,-8.133,1,0.123,78.529,0.34
Benevento,TACONAFIDE,"0,25 mg",4K7r5ProKq1WZCF1N07bbA,0.332,0.805,182293,0.592,2.47e-06,2,0.103,-9.134,1,0.154,116.045,0.0669
C3PO,TACONAFIDE,"0,25 mg",5Qs7zE0tPgeAvuOMX2lZdx,0.0589,0.707,198427,0.569,0,11,0.127,-10.328,1,0.313,147.97,0.498
8 kobiet - Remix,TACONAFIDE,"0,25 mg",5s6jooT9ZcUjjD5qVx9B5K,0.479,0.723,270813,0.571,0,8,0.112,-7.642,1,0.138,140.06,0.265
VISA - Remix,TACONAFIDE,"0,25 mg",6ADWvyPPzmw5xc7aJLRjaK,0.267,0.791,223800,0.649,0,1,0.104,-7.503,1,0.179,94.979,0.342
Ekodiesel - Remix,TACONAFIDE,"0,25 mg",6RTBbCHarUEqvadyapR7LE,0.155,0.823,300280,0.652,0.000551,2,0.11,-5.944,1,0.188,142.026,0.689
Wiem - Remix,TACONAFIDE,"0,25 mg",1pKkoDLwJIqTueD6Ux9MiK,0.146,0.761,289400,0.638,9.29e-06,8,0.158,-7.183,0,0.166,139.973,0.509
Tamagotchi - Remix,TACONAFIDE,"0,25 mg",0uOXJ9NZF2xNWxlUZckDVw,0.507,0.745,202920,0.681,0,2,0.192,-6.995,1,0.149,112.036,0.398
Moje demony uciekły na urlop,TACONAFIDE,"0,25 mg",1OaXpp6SWunsKt4vh2o6mD,0.441,0.827,280160,0.564,0,0,0.104,-7.543,1,0.263,118.0,0.42
Outro,TACONAFIDE,"0,25 mg",5cy20jKhMHFt1ZCFjFp7gi,0.365,0.768,137760,0.62,3.27e-06,11,0.0777,-7.342,0,0.222,88.055,0.339
Intro,TACONAFIDE,"Soma 0,5 mg",4WTfERprbYXMP7NtA6ClSk,0.431,0.646,147853,0.66,0,11,0.151,-8.948,0,0.432,87.583,0.348
Metallica 808,TACONAFIDE,"Soma 0,5 mg",7oJ5ujI4NyTOV8GvrmA23A,0.174,0.628,187959,0.778,0,2,0.141,-6.34,1,0.25,170.069,0.363
Art-B,TACONAFIDE,"Soma 0,5 mg",7nHGjbZeoJIMBgsCuZGeSM,0.207,0.781,198947,0.788,0,6,0.209,-5.924,0,0.259,111.92,0.455
Ekodiesel,TACONAFIDE,"Soma 0,5 mg",7tBwkDCvo75xDAoGOQLKeJ,0.157,0.812,218987,0.639,0.000262,2,0.114,-6.129,1,0.175,142.048,0.664
Wiem,TACONAFIDE,"Soma 0,5 mg",6XWNMmU9gm8m8sG2iPHqA4,0.194,0.746,221387,0.633,8.86e-05,8,0.151,-7.302,0,0.137,140.007,0.504
Kryptowaluty,TACONAFIDE,"Soma 0,5 mg",5BUhxai60oAz69BWZv1qW5,0.326,0.774,276173,0.666,0,1,0.082,-6.559,1,0.306,130.067,0.528
PIN,TACONAFIDE,"Soma 0,5 mg",04Reou3HoLagPd6fjjoY1H,0.476,0.63,215840,0.842,0,10,0.102,-6.165,0,0.199,169.954,0.425
8 kobiet,TACONAFIDE,"Soma 0,5 mg",6VfGN9E3V4VVOlbtt0VbgN,0.422,0.71,199093,0.602,0,8,0.121,-7.697,1,0.0623,139.989,0.322
Tamagotchi,TACONAFIDE,"Soma 0,5 mg",3yI9jZu5AE7y7kUCqfBhCA,0.325,0.757,201829,0.732,0,2,0.186,-6.269,1,0.195,111.99,0.385
Nóż,TACONAFIDE,"Soma 0,5 mg",0FZeswxyqpEE42q9hNn2zY,0.238,0.576,205254,0.723,8.13e-06,2,0.348,-7.477,1,0.268,148.09,0.556
Visa,TACONAFIDE,"Soma 0,5 mg",4M1McbiEQSJmMyaGjWDXJm,0.32,0.786,208296,0.671,0,1,0.105,-6.65,1,0.175,94.992,0.351
Mleko & miód,TACONAFIDE,"Soma 0,5 mg",1hZxka9RAHlUsx2gJv9aRA,0.737,0.749,207264,0.737,9.74e-05,8,0.102,-8.739,0,0.352,163.953,0.242
Giro d’Italia,TACONAFIDE,"Soma 0,5 mg",7MTHsEJEs90xjl6qdEwwYD,0.302,0.622,179533,0.735,0,1,0.107,-7.102,1,0.142,161.88,0.47
Sectumsempra,TACONAFIDE,"Soma 0,5 mg",3wLATPPs6ghcqEGwHqL0OH,0.624,0.504,212840,0.615,0.000323,3,0.107,-8.676,0,0.289,99.973,0.556
