name,artist,album,release_date,spotify_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Buon viaggio,Ultimo,Peter Pan,2018-02-09,6A8e89BJRo7tgJ3tD94Lze,60,0.564,0.523,191492,0.491,0,0,0.114,-6.566,1,0.047,86.361,0.331
Canzone stupida,Ultimo,Peter Pan,2018-02-09,27uxkkTEbs8h2EVNt96lk5,60,0.488,0.589,236500,0.743,0,11,0.0823,-3.522,0,0.257,124.35,0.679
La stella più fragile dell'universo,Ultimo,Peter Pan,2018-02-09,3iHqUSg0LBRxAF5CzjBK9y,68,0.912,0.584,226000,0.261,0,7,0.134,-8.293,1,0.0569,137.354,0.34
Cascare nei tuoi occhi,Ultimo,Peter Pan,2018-02-09,60oJSn5MTG2VNvCJKwd65M,75,0.541,0.732,226160,0.46,0,0,0.0896,-8.629,1,0.104,67.983,0.405
Poesia senza veli,Ultimo,Peter Pan,2018-02-09,3f2b204xj4jZdoHjo9wj0W,71,0.752,0.739,218167,0.519,0,8,0.222,-7.461,0,0.125,81.991,0.255
Il ballo delle incertezze,Ultimo,Peter Pan,2018-02-09,0Wq6iAraiUpSbBSPmv4gLu,69,0.445,0.654,203750,0.76,0,3,0.0548,-5.058,1,0.185,144.098,0.413
Peter Pan - Vuoi volare con me?,Ultimo,Peter Pan,2018-02-09,3qbMJGhSNdeKdz407PA6x4,65,0.318,0.606,226542,0.424,0,2,0.0888,-6.668,1,0.0405,139.797,0.245
Dove il mare finisce,Ultimo,Peter Pan,2018-02-09,4VWyOKIxLsvjkL3PEjFjuh,59,0.0867,0.724,200352,0.851,0,10,0.102,-4.569,1,0.048,122.964,0.603
Le stesse cose che facevo con te,Ultimo,Peter Pan,2018-02-09,69BLsJ1hNXLOAKkSGaplb8,57,0.35,0.689,192625,0.419,0,2,0.112,-6.802,1,0.0656,68.04,0.282
Ti dedico il silenzio,Ultimo,Peter Pan,2018-02-09,6GLmGfALwjzCaOiHwgfU7g,72,0.175,0.661,234250,0.443,0,8,0.177,-9.303,1,0.0688,80.0,0.147
Domenica,Ultimo,Peter Pan,2018-02-09,4KUDeyM9EfHIvhOtT8ktYs,58,0.51,0.726,190417,0.516,0,11,0.145,-7.18,0,0.173,160.002,0.409
Vorrei soltanto amarti,Ultimo,Peter Pan,2018-02-09,12E56egCCjTWQnNVM3BgLl,61,0.551,0.738,178615,0.392,0,0,0.26,-8.124,1,0.0843,135.966,0.386
Il vaso,Ultimo,Peter Pan,2018-02-09,0PEDypUUIAOgGQRVh3Ts2l,53,0.403,0.725,252833,0.438,1.82e-06,4,0.0947,-7.695,0,0.0731,141.868,0.237
La casa di un poeta - Piano Live Studio,Ultimo,Peter Pan,2018-02-09,40GpkPNFZ5zGVDebO1UfCT,53,0.926,0.531,211500,0.198,0,5,0.113,-9.28,1,0.0465,132.789,0.226
Farfalla bianca - Piano Live Studio,Ultimo,Peter Pan,2018-02-09,0osQl9IUWOAARZt1PfcULp,61,0.881,0.547,195750,0.176,0,7,0.112,-11.113,1,0.0679,97.819,0.231
Forse dormirai,Ultimo,Peter Pan,2018-02-09,21gzlk4JOGuJT1Ivbh2J4W,57,0.326,0.695,238000,0.357,2.12e-05,0,0.116,-8.162,1,0.0349,138.067,0.188
Chiave,Ultimo,Pianeti,2017-10-06,7FBzYjbBeg9DTW3avYow4d,57,0.502,0.61,239239,0.767,0,7,0.111,-6.538,0,0.47,80.554,0.159
Il capolavoro,Ultimo,Pianeti,2017-10-06,0Apx4ZsigEtDk6E6yjhk0K,56,0.186,0.658,178640,0.487,0,10,0.101,-8.679,1,0.0916,135.975,0.2
Pianeti,Ultimo,Pianeti,2017-10-06,2w5wtWq30yTkNSG9YjMFvW,74,0.281,0.55,224000,0.488,0,8,0.372,-9.425,1,0.196,80.112,0.108
Mille universi,Ultimo,Pianeti,2017-10-06,1zpGyIRswFJNwBgF5KM59a,57,0.0513,0.668,248083,0.659,0,7,0.126,-8.181,0,0.0502,133.767,0.449
Sabbia,Ultimo,Pianeti,2017-10-06,5UepF3Bi2vhTJacaM3a5cO,64,0.162,0.623,218630,0.733,0,1,0.081,-6.28,1,0.377,146.267,0.452
Racconterò di te,Ultimo,Pianeti,2017-10-06,1c1f9Xtqp0dwUkXYndACqe,64,0.797,0.624,204634,0.58,0,2,0.1,-6.852,1,0.211,80.327,0.173
Giusy,Ultimo,Pianeti,2017-10-06,3Mcl7grRpdy9GpSgP1p9x6,60,0.667,0.58,206215,0.545,0,7,0.103,-8.827,1,0.0744,158.14,0.235
Ovunque tu sia,Ultimo,Pianeti,2017-10-06,5SdYb5G6YbYDgS7jMRqPOQ,64,0.476,0.721,199659,0.533,0,7,0.109,-8.498,1,0.0972,115.919,0.413
La storia di un uomo,Ultimo,Pianeti,2017-10-06,6UsdsvA7hUZQMRRtUyHgPf,55,0.611,0.672,204354,0.552,1.94e-05,0,0.0894,-8.377,1,0.17,79.557,0.34
Wendy,Ultimo,Pianeti,2017-10-06,4HGsrtW2w9af5wp8jv6hP9,56,0.081,0.626,193134,0.62,0,2,0.0918,-8.154,1,0.0472,119.808,0.313
L'unica forza che ho,Ultimo,Pianeti,2017-10-06,2dlBfRhSt8Zpnb9IJ5eh3m,59,0.804,0.48,243147,0.415,0,2,0.109,-10.181,1,0.213,170.226,0.244
Sogni appesi,Ultimo,Pianeti,2017-10-06,2HgBmx6tfhRO417ahshpeQ,69,0.904,0.732,212864,0.428,0,9,0.137,-9.654,1,0.119,127.413,0.639
L'eleganza delle stelle,Ultimo,Pianeti,2017-10-06,1q3HJXc21OLXmjjVprjdKi,59,0.242,0.619,182542,0.451,0,9,0.0635,-10.037,1,0.0568,140.016,0.0704
Stasera,Ultimo,Pianeti,2017-10-06,4LJNZtJg636sRlvUubZ6ra,63,0.552,0.546,244423,0.386,0,0,0.303,-10.284,1,0.0731,115.145,0.301
